,playerID,espn_id,last_name,swish_id,depth_chart_order,news_updated,high_school,stats_id,active,rotowire_id,hashtag,full_name,player_id,injury_start_date,practice_participation,depth_chart_position,rotoworld_id,years_exp,gsis_id,status,metadata,college,fantasy_data_id,fantasy_positions,injury_status,oddsjam_id,pandascore_id,height,team_changed_at,age,injury_body_part,search_first_name,birth_city,birth_date,search_rank,number,yahoo_id,birth_country,sport,competitions,sportradar_id,position,weight,search_last_name,first_name,search_full_name,birth_state,opta_id,practice_description,team_abbr,injury_notes,team
0,6462,3926590.0,Richardson,,,,Douglas County,887183.0,True,14134.0,#ellisrichardson-NFL-FA-45,Ellis Richardson,6462,,,,,3.0, 00-0035057,Active,{'channel_id': '1116853254748110848'},Georgia Southern,21427.0,['TE'],,,,75,,26.0,,ellis,,1995-02-12,9999999.0,45.0,32262.0,,nfl,[],efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,TE,245,richardson,Ellis,ellisrichardson,,,,,,
1,11255,,Amoah,1052592.0,,,Davis (CA),,True,,#nickamoah-NFL-FA-63,Nick Amoah,11255,,,,,0.0,,Active,{'channel_id': '1116852669114220544'},UC Davis,,['OL'],,,,74,,,,nick,,,9999999.0,63.0,,,nfl,[],55510c00-ead2-11ed-999e-03b49558b5db,OL,306,amoah,Nick,nickamoah,,,,,,
2,8842,,Morrison,1131137.0,,1653351613345.0,Iona Prep (NY),,True,16558.0,#malkelmmorrison-NFL-FA-0,Malkelm Morrison,8842,,,,,1.0,,Injured Reserve,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",Army,,['DB'],,,,70,,,,malkelm,,,9999999.0,0.0,,,nfl,[],3c804b10-d3a8-11ec-96a0-c3471a31202c,CB,186,morrison,Malkelm,malkelmmorrison,,,,,,
3,7926,,Tucker,866047.0,,1631568053348.0,Hough (NC),,True,15412.0,#carltucker-NFL-FA-0,Carl Tucker,7926,,,,,1.0,,Active,{'channel_id': '1116853436709601280'},Alabama,,['TE'],,,,74,,24.0,,carl,,1997-02-06,426.0,0.0,,,nfl,[],fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,TE,250,tucker,Carl,carltucker,,,,,,
4,1875,16720.0,Mosley,557173.0,1.0,1736808643073.0,Theodore (AL),,True,9380.0,#cjmosley-NFL-NYJ-57,C.J. Mosley,1875,,,MLB,9631.0,11.0,00-0031296,Inactive,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",Alabama,16093.0,['LB'],IR,97CDFFA7FA4D,,74,,32.0,Neck,cj,,1992-06-19,216.0,57.0,27545.0,,nfl,[],bf5f7564-349a-439a-a8a9-4ddb10448a8d,LB,231,mosley,C.J.,cjmosley,,,,,,NYJ
5,8478,,Womack,1085180.0,1.0,1737226242174.0,East English Village Prep (MI),,True,16274.0,#samuelwomack-NFL-IND-33,Samuel Womack,8478,,,LCB,,3.0,,Active,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",Toledo,,['DB'],,0823DA35726D,,71,,25.0,,samuel,,1999-07-07,9999999.0,33.0,,,nfl,[],75c1ed8d-4f05-43c1-b398-f212984b6b8b,CB,189,womack,Samuel,samuelwomack,,,,,,IND
6,995,14297.0,Parker,,,1578330037366.0,Beaufort (SC),512802.0,False,7817.0,#ronparker-NFL-FA-0,Ron Parker,995,,,,6811.0,11.0,00-0028445,Injured Reserve,,Newberry,13476.0,['DB'],,,,72,,34.0,,ron,,1987-08-17,9999999.0,0.0,25090.0,,nfl,[],e9a0297a-0b34-4c55-af1f-ca113d672195,FS,206,parker,Ron,ronparker,,,,,,
7,1408,15825.0,Bell,543654.0,,1707165960874.0,Groveport Madison (OH),543654.0,True,8617.0,#leveonbell-NFL-TB-6,Le'Veon Bell,1408,,,,8390.0,9.0,00-0030496,Active,{'channel_id': '1116852736248250368'},Michigan State,14967.0,['RB'],,,,73,,29.0,,leveon,,1992-02-18,235.0,6.0,26671.0,,nfl,[],7735c02a-ee75-447c-86e6-6c2168500050,RB,225,bell,Le'Veon,leveonbell,,,,,,TB
8,8074,,Seybert,,,1629836727949.0,St. Francis (MI),,True,15785.0,#mattseybert-NFL-FA-41,Matt Seybert,8074,,,,,1.0,,Active,{'channel_id': '1116853462399713280'},Michigan State,,['TE'],,,,76,,24.0,,matt,,1997-05-02,,41.0,,,nfl,[],22ec09a7-6001-43b7-adf9-cf0df941ad0e,TE,252,seybert,Matt,mattseybert,,,,,,
9,156,10613.0,Gay,,,1534088707204.0,James R. Rickards (FL),229499.0,False,6211.0,#williamgay-NFL-FA-25,William Gay,156,,,,4319.0,13.0,00-0025557,Inactive,,Louisville,4122.0,['DB'],,,,"5'10""",,35.0,,william,,1985-01-01,9999999.0,25.0,8424.0,,nfl,[],a2907a39-139b-483f-8369-e278c26a6951,CB,187,gay,William,williamgay,,,,,,
